collect_time,air1_supply_temperature,air2_supply_temperature,air3_supply_temperature,air4_supply_temperature,air5_supply_temperature,air6_supply_temperature,air7_supply_temperature,air8_supply_temperature,air9_supply_temperature,air10_supply_temperature,air11_supply_temperature,air12_supply_temperature,air13_supply_temperature,air14_supply_temperature,air15_supply_temperature,air16_supply_temperature,air17_supply_temperature,air18_supply_temperature,air19_supply_temperature,air20_supply_temperature,coldaisle1_temperature,coldaisle2_temperature,coldaisle3_temperature,coldaisle4_temperature,coldaisle5_temperature,coldaisle6_temperature,coldaisle7_temperature,coldaisle8_temperature,coldaisle9_temperature,coldaisle10_temperature,coldaisle11_temperature,coldaisle12_temperature,coldaisle13_temperature,coldaisle14_temperature,coldaisle15_temperature,coldaisle16_temperature,coldaisle17_temperature,coldaisle18_temperature
2023-05-23 13:32:20,25.1,24.3000011,24.1,25.0,25.0,24.2,24.3000011,24.1,24.2,24.9,25.2,24.2,24.2,24.1,24.1,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.1312637,25.4350052,24.5446472,24.1312637,24.38565,24.0040665,23.7814827,24.6718369,24.2266541,24.7036362,24.7672348,24.2584534,24.41745,24.3538513
2023-05-23 13:32:30,25.1,24.3000011,24.1,25.0,25.0,24.2,24.3000011,24.1,24.2,24.9,25.2,24.2,24.2,24.1,24.1,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.1312637,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7814827,24.6718369,24.2266541,24.7036362,24.7672348,24.2584534,24.41745,24.3538513
2023-05-23 13:32:40,25.1,24.3000011,24.0,25.0,25.0,24.2,24.3000011,24.1,24.2,24.9,25.2,24.2,24.2,24.1,24.0,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.1312637,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7814827,24.6718369,24.2266541,24.7036362,24.7672348,24.2584534,24.41745,24.3538513
2023-05-23 13:32:50,25.1,24.3000011,24.0,25.0,25.0,24.2,24.3000011,24.1,24.2,24.9,25.2,24.2,24.2,24.1,24.0,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.1312637,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7496834,24.6718369,24.2266541,24.7672348,24.7672348,24.2584534,24.41745,24.3538513
2023-05-23 13:33:00,25.1,24.3000011,24.0,25.0,25.0,24.2,24.3000011,24.1,24.2,24.9,25.2,24.2,24.2,24.1,24.0,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.0994644,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7496834,24.6718369,24.322052,24.7672348,24.7672348,24.2584534,24.41745,24.3538513
2023-05-23 13:33:10,25.1,24.3000011,24.0,25.0,25.0,24.1,24.2,24.1,24.2,24.9,25.2,24.2,24.2,24.1,24.0,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.0994644,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7496834,24.6718369,24.322052,24.7672348,24.8308334,24.2902527,24.41745,24.3538513
2023-05-23 13:33:20,25.1,24.3000011,24.0,24.9,25.0,24.1,24.2,24.1,24.2,24.9,25.2,24.2,24.1,24.1,24.0,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.0994644,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7496834,24.6718369,24.322052,24.7672348,24.8308334,24.2902527,24.41745,24.3538513
2023-05-23 13:33:30,25.1,24.2,24.0,24.9,25.0,24.1,24.2,24.1,24.2,24.9,25.2,24.1,24.1,24.1,24.1,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.0994644,25.4350052,24.5446472,24.1312637,24.41745,24.0040665,23.7496834,24.6718369,24.322052,24.7990341,24.8308334,24.2902527,24.41745,24.3538513
2023-05-23 13:33:40,25.1,24.2,24.0,24.9,25.0,24.1,24.2,24.1,24.2,24.9,25.2,24.1,24.1,24.1,24.1,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.0994644,25.4350052,24.5446472,24.1312637,24.41745,24.0358658,23.7814827,24.6718369,24.322052,24.7990341,24.8308334,24.2902527,24.41745,24.3538513
2023-05-23 13:33:50,25.1,24.2,24.0,24.9,25.0,24.1,24.2,24.1,24.2,24.9,25.2,24.1,24.1,24.1,24.1,24.0,24.3000011,24.2,24.4,24.7,24.0994644,24.0040665,23.7178841,23.7496834,24.0994644,25.4350052,24.5446472,24.1312637,24.41745,24.0358658,23.7814827,24.6718369,24.322052,24.7990341,24.8308334,24.2902527,24.41745,24.3538513
