collect_time,air1_supply_temperature,air2_supply_temperature,air3_supply_temperature,air4_supply_temperature,air5_supply_temperature,air6_supply_temperature,air7_supply_temperature,air8_supply_temperature,air9_supply_temperature,air10_supply_temperature,air11_supply_temperature,air12_supply_temperature,air13_supply_temperature,air14_supply_temperature,air15_supply_temperature,air16_supply_temperature,air17_supply_temperature,air18_supply_temperature,air19_supply_temperature,air20_supply_temperature,coldaisle1_temperature,coldaisle2_temperature,coldaisle3_temperature,coldaisle4_temperature,coldaisle5_temperature,coldaisle6_temperature,coldaisle7_temperature,coldaisle8_temperature,coldaisle9_temperature,coldaisle10_temperature,coldaisle11_temperature,coldaisle12_temperature,coldaisle13_temperature,coldaisle14_temperature,coldaisle15_temperature,coldaisle16_temperature,coldaisle17_temperature,coldaisle18_temperature
2023-05-25 09:49:40,24.9,24.2,24.4,25.0,24.9,24.0,24.2,24.1,24.2,24.6,25.3000011,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.7814827,23.6860847,24.163063,25.4668045,24.6082382,24.2266541,24.5128479,23.876873,23.7814827,24.6718369,24.163063,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:49:50,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.3000011,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.7814827,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6718369,24.163063,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:50:00,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.163063,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:50:10,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.163063,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:50:20,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.163063,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:50:30,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.1948624,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:50:40,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.1948624,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:50:50,24.9,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.1948624,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:51:00,25.0,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.1948624,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
2023-05-25 09:51:10,25.0,24.2,24.4,25.0,24.9,24.0,24.3000011,24.1,24.2,24.6,25.4,24.2,24.2,24.4,24.3000011,24.4,24.4,24.1,24.1,24.8000011,24.163063,24.0358658,23.813282,23.6860847,24.163063,25.4350052,24.6082382,24.2266541,24.5446472,23.876873,23.7814827,24.6400375,24.1948624,24.5764389,24.5764389,24.163063,24.1948624,24.1948624
